customer_id,application_date,age,income,employment_years,loan_amount,loan_duration_months,existing_debt,debt_to_income,credit_history_months,number_of_previous_loans,missed_payments_12m,region,channel,collection_status_after_90d,default_90d
109926,2024-02-21,52,23481.0,3.4,19891.0,36,3270.0,0.2099,198.0,2,0,Nord,mobile,a_jour,0
101144,2023-08-30,45,30581.0,3.2,17102.0,18,16164.0,0.5752,297.0,2,1,Ouest,agence,a_jour,0
119348,2023-02-23,43,24508.0,6.7,13631.0,36,3674.0,0.1963,243.0,2,0,Sud,agence,a_jour,0
116760,2024-04-30,50,67089.0,,13109.0,36,5633.0,0.1002,302.0,5,0,Est,web,a_jour,0
109202,2023-09-05,56,33828.0,17.4,10905.0,48,3795.0,0.139,107.0,0,0,Est,agence,a_jour,0
102361,2024-07-02,37,46952.0,1.1,16819.0,36,10079.0,0.2445,202.0,4,0,Nord,mobile,a_jour,0
106579,2023-11-13,42,41484.0,4.2,8010.0,72,1420.0,0.0503,161.0,4,0,Sud,web,a_jour,0
114515,2024-10-24,33,53449.0,2.1,7676.0,12,18129.0,0.3512,108.0,3,2,Centre,agence,a_jour,0
119792,2024-01-30,27,26153.0,9.0,25295.0,36,7685.0,0.3744,102.0,3,0,Sud,web,a_jour,0
100037,2024-08-27,35,17386.0,2.5,6496.0,48,3572.0,0.2366,60.0,1,0,Centre,agence,a_jour,0
118589,2023-04-27,51,67314.0,10.6,13916.0,18,35047.0,0.5379,366.0,7,1,Est,web,a_jour,0
102490,2023-09-07,35,45814.0,1.0,14730.0,36,33107.0,0.7494,150.0,1,3,Centre,courtier,recouvrement_amiable,1
107155,2023-07-07,39,56874.0,5.0,3673.0,24,39344.0,0.6972,113.0,0,0,Est,mobile,a_jour,0
110051,2024-03-20,44,55446.0,3.7,8175.0,60,10578.0,0.2031,257.0,7,0,Est,web,a_jour,0
109642,2023-11-25,44,74566.0,9.2,15436.0,24,15206.0,0.2212,215.0,4,0,Nord,web,a_jour,0
114532,2024-12-08,42,39271.0,12.3,17557.0,24,6057.0,0.1915,191.0,1,0,Nord,agence,a_jour,0
111729,2024-05-06,56,38527.0,3.9,12121.0,12,3787.0,0.1245,260.0,2,0,Ouest,web,a_jour,0
114955,2023-07-20,55,100975.0,2.0,6005.0,48,23173.0,0.2344,103.0,1,0,Ouest,agence,a_jour,0
117010,2023-09-07,38,27967.0,5.2,8081.0,72,6778.0,0.2664,194.0,2,0,Sud,agence,a_jour,0
116071,2024-09-24,40,27030.0,2.2,15447.0,36,1891.0,0.1176,128.0,2,1,Nord,mobile,a_jour,0
109235,2024-02-06,42,28451.0,3.7,7315.0,60,12088.0,0.4463,76.0,1,1,Est,courtier,recouvrement_contentieux,1
105044,2024-08-12,50,25851.0,9.1,28861.0,48,2336.0,0.1834,104.0,1,1,Nord,web,a_jour,0
107802,2024-06-20,30,22772.0,9.2,14485.0,12,8218.0,0.4139,128.0,0,0,Centre,web,a_jour,0
110170,2023-03-01,64,66817.0,2.1,4927.0,60,5567.0,0.0895,159.0,2,0,Ouest,web,a_jour,0
105720,2024-12-16,33,55634.0,1.6,17142.0,48,8675.0,0.1816,62.0,0,0,Sud,mobile,a_jour,0
119621,2023-08-15,42,45333.0,10.9,6904.0,24,7471.0,0.1775,123.0,2,0,Ouest,web,a_jour,0
116447,2024-11-03,26,40175.0,8.0,14544.0,36,3188.0,0.1095,76.0,0,1,Ouest,mobile,a_jour,0
